ID,Name,Brand,Category,Price,DiscountPrice,Image_URL
151,"Haier Twin Tub Series Washing Machine White 10 Kg (hmw100-1217)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-twin-tub-series-washing-machine-white-10-kg-hmw100-1217.png"
152,"Haier Twin Tub Top Load Semi Automatic Washing Machine 10kg (HTW 100-196g)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-twin-tub-top-load-semi-automatic-washing-machine-10kg-htw-100-196g.png"
153,"Haier Twin Tub Top Load Semi Automatic Washing Machine 8 Kg (hwm-80-cs)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-twin-tub-top-load-semi-automatic-washing-machine-8-kg-hwm-80-cs.png"
154,"Haier Washing Machine Semi Auto Twin Tub Top Load 10kg - HTW 100-196e","Haier","Air Conditioners",50000,47500,"/images/haier-haier-washing-machine-semi-auto-twin-tub-top-load-10kg-htw-100-196e.png"
155,"Haier-10 Kg-fully Automatic-top Loading Washing Machine HWM 100-1269","Haier","Air Conditioners",50000,47500,"/images/haier-haier-10-kg-fully-automatic-top-loading-washing-machine-hwm-100-1269.png"
51,"Kenwood 1 Ton Kgp-12c01s Glory Pro Split AC","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-1-ton-kgp-12c01s-glory-pro-split-ac.png"
52,"Kenwood 1867 E?comfort Pro 1.5?ton Inverter Split AC","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-1867-e-comfort-pro-1-5-ton-inverter-split-ac.png"
53,"Kenwood 1871 E?luxury Plus 1.5?ton Inverter Split AC","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-1871-e-luxury-plus-1-5-ton-inverter-split-ac.png"
55,"Kenwood 18c02s Glory Ultra 1.5 Ton DC Inverter Split AC","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-18c02s-glory-ultra-1-5-ton-dc-inverter-split-ac.png"
50,"Kenwood 1ton DC Inverter AC Glory 12c03s","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-1ton-dc-inverter-ac-glory-12c03s.png"
