S_No,Brand,Category,Model_Name,MRP_Price,Image_URL,Image_Status,Match_Notes
"30","Haier","Air Conditioners","HSU-19LF-PRIME/023DC(W)","108051","","NOT_FOUND","Core model number 19 not listed on qistbazaar.pk"
"31","Haier","Air Conditioners","HSU-18CFCP/023L(W)","98729","","NOT_FOUND","Core model number 18 not listed on qistbazaar.pk"
"32","Haier","Air Conditioners","HSU-24HFAB/013WUSDC(W)-T3 Pro","175424","","NOT_FOUND","Core model number 24 not listed on qistbazaar.pk"
"33","Haier","Air Conditioners","HSU-24HFAB/013WUSDC(Grey)-T3 Pro","180508","","NOT_FOUND","Core model number 24 not listed on qistbazaar.pk"
"34","Haier","Air Conditioners","HSU-24HFCD/013/23WDC(W)","164407","","NOT_FOUND","Core model number 24 not listed on qistbazaar.pk"
"35","Haier","Air Conditioners","HSU-24CFCM/023L(W)","139831","","NOT_FOUND","Core model number 24 not listed on qistbazaar.pk"
"36","Haier","Air Conditioners","HBU-18HE/DC 1.5 254,237","254237","","NOT_FOUND","Core model number 18 not listed on qistbazaar.pk"
"37","Haier","Air Conditioners","HBU-24HE/DC-QB-T3 2 372,881","372881","","NOT_FOUND","Core model number 24 not listed on qistbazaar.pk"
"38","Haier","Air Conditioners","Cool Only HBU-48CE/DC 4 508,475","508475","","NOT_FOUND","Core model number 48 not listed on qistbazaar.pk"
"39","Haier","Air Conditioners","Heat & Cool HBU-48E/DC 4 550,847","550847","","NOT_FOUND","Core model number 48 not listed on qistbazaar.pk"
"40","Haier","Air Conditioners","HDU-24HE/DC 2 302,542","302542","","NOT_FOUND","Core model number 24 not listed on qistbazaar.pk"
"41","Haier","Air Conditioners","HDU-48HE/DC 4 475,424","475424","","NOT_FOUND","Core model number 48 not listed on qistbazaar.pk"
"42","Haier","Air Conditioners","HBU-24CE03/KB 2 259,322","259322","","NOT_FOUND","Core model number 24 not listed on qistbazaar.pk"
"43","Haier","Air Conditioners","HBU-48CE03/KB 4 388,983","388983","","NOT_FOUND","Core model number 48 not listed on qistbazaar.pk"
