S_No,Brand,Category,Model_Name,SKU,Rate,Image_URL,Image_Status,Match_Notes
"77","Haier","Washing Machine","HWM-49102 P",""," 26,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"78","Haier","Washing Machine","HWM-49112 GD",""," 31,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"79","Haier","Washing Machine","HWM-49112 P",""," 30,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"80","Haier","Washing Machine","HWM-75 AS",""," 23,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"81","Haier","Microwave","HGL-25MXP8",""," 23,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"82","Haier","Microwave","HMO-62 MX80",""," 46,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"83","WestPoint","Kitchen Appliance","WestPoint 1153","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"84","WestPoint","Kitchen Appliance","WestPoint 1154","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"85","WestPoint","Kitchen Appliance","WestPoint 1155","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"86","WestPoint","Kitchen Appliance","WestPoint 1156","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"87","WestPoint","Kitchen Appliance","WestPoint 1851","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"88","WestPoint","Kitchen Appliance","WestPoint 2020","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"89","WestPoint","Kitchen Appliance","WestPoint 2023","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"90","WestPoint","Kitchen Appliance","WestPoint 2024","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"91","WestPoint","Kitchen Appliance","WestPoint 2063","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"92","WestPoint","Kitchen Appliance","WestPoint 2064","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"93","WestPoint","Kitchen Appliance","WestPoint 2065","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"94","WestPoint","Kitchen Appliance","WestPoint 3117","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"95","WestPoint","Kitchen Appliance","WestPoint 3119","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"96","WestPoint","Kitchen Appliance","WestPoint 6172","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"97","WestPoint","Kitchen Appliance","WestPoint 6174","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"98","WestPoint","Kitchen Appliance","WestPoint 6175","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"99","WestPoint","Kitchen Appliance","WestPoint 6178","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"100","WestPoint","Kitchen Appliance","WestPoint 6807","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"101","WestPoint","Kitchen Appliance","WestPoint 6809","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"102","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"103","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"104","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"105","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"106","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"107","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"108","Kenwood","Washing Machine","KWM-899 WASHER",""," 18,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"109","Kenwood","Washing Machine","KWS- 1050 SPINNER",""," 18,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"110","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"111","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"112","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"113","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"114","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"115","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"116","Kenwood","AC","KEN 1276 E-Nova",""," 95,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"117","Kenwood","AC","KEN 1876 E-Nova",""," 118,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"118","Kenwood","AC","KEN 2476 E-Nova",""," 169,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"119","PEL","Microwave","PMO-23 SLM",""," 23,300 ","","STILL_UNVERIFIED","Model truly not found on official site https://pel.com.pk"
"120","PEL","Microwave","PMO-26 DESIRE",""," 29,300 ","","STILL_UNVERIFIED","Model truly not found on official site https://pel.com.pk"
"121","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","","STILL_UNVERIFIED","Model truly not found on official site https://superasiastore.com"
"122","Super Asia","Washing Machine","SD-525",""," -   ","","STILL_UNVERIFIED","Model truly not found on official site https://superasiastore.com"
"123","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","","STILL_UNVERIFIED","Model truly not found on official site https://superasiastore.com"
"124","Haier","Washing Machine","HWM-120 AS MG",""," 41,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"125","Haier","Washing Machine","HWM-120-826 E",""," 60,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"126","Haier","Washing Machine","HWM-49102 GD",""," 27,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"127","Haier","Washing Machine","HWM-49102 P",""," 26,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"128","Haier","Washing Machine","HWM-49112 GD",""," 31,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"129","Haier","Washing Machine","HWM-49112 P",""," 30,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"130","Haier","Washing Machine","HWM-75 AS",""," 23,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"131","Haier","Microwave","HGL-25MXP8",""," 23,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
